Date,Open,High,Low,Close,Adj Close,Volume,¼öÀÍ·ü
2017-05-02,629.210022,629.530029,626.400024,626.429993,626.429993,596100.0,-0.002881059831928323
2017-05-04,628.099976,635.109985,628.099976,635.109985,635.109985,509200.0,0.013856284176993583
2017-05-08,638.359985,643.390015,638.090027,643.390015,643.390015,550900.0,0.013037159225263828
2017-05-10,645.700012,645.700012,641.539978,642.679993,642.679993,768700.0,-0.001103563909054417
2017-05-11,644.440002,647.580017,643.349976,647.580017,647.580017,731400.0,0.00762436057349003
2017-05-12,648.559998,648.559998,642.960022,643.72998,643.72998,762400.0,-0.00594526838217746
2017-05-15,644.590027,646.309998,642.789978,645.380005,645.380005,699800.0,0.002563225344887732
2017-05-16,646.5,646.5,638.429993,639.109985,639.109985,723800.0,-0.009715237459208104
2017-05-17,640.869995,641.47998,638.929993,640.01001,640.01001,624400.0,0.001408247439601329
2017-05-18,633.400024,638.159973,633.140015,638.119995,638.119995,785400.0,-0.002953102249135031
2017-05-19,640.330017,643.059998,639.169983,642.450012,642.450012,726600.0,0.006785584269303424
2017-05-22,645.039978,645.159973,641.599976,642.619995,642.619995,753200.0,0.00026458556591957283
2017-05-23,644.590027,645.440002,644.0,644.72998,644.72998,800700.0,0.0032834101279402006
2017-05-24,646.440002,648.049988,645.030029,646.039978,646.039978,844300.0,0.0020318552582276883
2017-05-25,648.25,648.289978,642.869995,643.02002,643.02002,766900.0,-0.004674568297381665
2017-05-26,644.969971,646.450012,644.299988,646.01001,646.01001,656900.0,0.004649917431808648
2017-05-29,648.150024,648.219971,642.75,642.97998,642.97998,626600.0,-0.004690376237358906
2017-05-30,645.090027,649.090027,644.340027,649.059998,649.059998,599200.0,0.009455998925503195
2017-05-31,650.51001,652.52002,649.51001,652.039978,652.039978,664000.0,0.00459122424611369
2017-06-01,653.570007,654.22998,651.099976,653.830017,653.830017,670500.0,0.0027452902588742667
2017-06-02,656.429993,658.820007,655.820007,658.780029,658.780029,638000.0,0.0075707934345266015
2017-06-05,660.77002,662.369995,659.76001,662.320007,662.320007,583300.0,0.005373535693505405
2017-06-07,664.070007,666.580017,661.099976,666.460022,666.460022,790900.0,0.006250777503690852
2017-06-08,668.25,670.049988,667.0,669.969971,669.969971,672800.0,0.005266555958550745
2017-06-09,672.140015,674.150024,671.200012,674.150024,674.150024,623300.0,0.006239164710264422
2017-06-12,672.090027,672.119995,664.119995,664.859985,664.859985,579500.0,-0.013780373313462935
2017-06-13,666.070007,669.26001,666.070007,669.22998,669.22998,626900.0,0.00657280494930057
2017-06-14,673.02002,674.359985,670.26001,671.590027,671.590027,645500.0,0.0035265111703453034
2017-06-15,672.969971,673.099976,664.98999,669.820007,669.820007,672700.0,-0.002635566236602105
2017-06-16,670.77002,670.820007,667.72998,670.700012,670.700012,608300.0,0.0013137932441602551
2017-06-19,672.719971,675.710022,672.25,675.440002,675.440002,580100.0,0.007067228142527693
2017-06-20,678.719971,678.820007,669.409973,669.409973,669.409973,734000.0,-0.008927556825395144
2017-06-21,668.409973,668.440002,662.679993,665.77002,665.77002,616000.0,-0.00543755418475067
2017-06-22,667.98999,668.359985,663.26001,663.280029,663.280029,700700.0,-0.003740016710274907
2017-06-23,665.190002,669.049988,665.02002,668.929993,668.929993,560300.0,0.00851821817780074
2017-06-26,670.590027,670.780029,667.710022,668.359985,668.359985,586200.0,-0.0008521190647223786
2017-06-27,671.700012,673.130005,670.869995,672.630005,672.630005,639700.0,0.006388802585181486
2017-06-28,671.26001,672.359985,665.890015,665.890015,665.890015,601800.0,-0.010020352868439164
2017-06-29,670.099976,670.559998,666.0,668.0,668.0,515400.0,0.0031686689280061575
2017-06-30,665.669983,669.119995,665.570007,669.039978,669.039978,511600.0,0.0015568532934131518
2017-07-03,671.169983,671.169983,660.039978,660.969971,660.969971,560800.0,-0.01206206992910075
2017-07-04,662.169983,663.849976,654.059998,656.190002,656.190002,735100.0,-0.007231749110732211
2017-07-05,657.700012,661.580017,657.690002,661.539978,661.539978,565100.0,0.008153089781456346
2017-07-06,663.789978,665.049988,662.669983,663.789978,663.789978,555500.0,0.003401154994143063
2017-07-07,662.659973,664.289978,660.98999,663.77002,663.77002,551500.0,-3.0066738970768725e-05
2017-07-10,666.190002,666.190002,657.669983,657.859985,657.859985,512900.0,-0.00890373897875052
2017-07-11,659.27002,659.909973,654.5,656.01001,656.01001,542000.0,-0.0028121105435529037
2017-07-12,657.059998,657.900024,651.090027,651.099976,651.099976,586100.0,-0.007484693716792501
2017-07-13,654.01001,655.159973,651.599976,652.690002,652.690002,490900.0,0.002442061217339253
2017-07-14,654.23999,655.450012,651.27002,654.109985,654.109985,533500.0,0.002175585646553291
2017-07-17,656.969971,659.890015,656.969971,659.890015,659.890015,415400.0,0.00883648030537243
2017-07-18,661.159973,664.039978,661.159973,664.02002,664.02002,570300.0,0.006258626295474468
2017-07-19,666.299988,671.530029,666.299988,671.530029,671.530029,500900.0,0.011309913517366432
2017-07-20,674.059998,677.590027,672.369995,676.51001,676.51001,569900.0,0.007415872388336631
2017-07-21,677.840027,678.150024,674.599976,676.599976,676.599976,523700.0,0.0001329854675764519
2017-07-24,678.590027,679.460022,676.630005,677.320007,677.320007,529200.0,0.0010641901057355518
2017-07-25,678.700012,679.47998,670.099976,670.469971,670.469971,677800.0,-0.010113441104951826
2017-07-26,672.429993,672.630005,664.130005,667.219971,667.219971,593900.0,-0.004847346101351291
2017-07-27,669.219971,670.599976,664.530029,666.47998,666.47998,527900.0,-0.00110906602344496
2017-07-28,665.080017,665.080017,651.840027,652.950012,652.950012,559700.0,-0.020300636787319415
2017-07-31,648.840027,651.830017,643.77002,650.469971,650.469971,504700.0,-0.0037982095940294336
2017-08-01,650.890015,655.070007,649.700012,653.119995,653.119995,487800.0,0.004074014355998745
2017-08-02,654.849976,658.280029,654.830017,657.52002,657.52002,494700.0,0.0067369320089489815
2017-08-03,658.700012,658.940002,641.630005,643.090027,643.090027,528200.0,-0.021946089185238882
2017-08-04,644.799988,648.340027,638.869995,641.580017,641.580017,459100.0,-0.0023480538285504116
2017-08-07,643.359985,650.01001,642.820007,648.390015,648.390015,455700.0,0.010614417250467412
2017-08-08,650.780029,651.909973,645.72998,651.669983,651.669983,607600.0,0.0050586343467982076
2017-08-09,649.390015,650.090027,642.869995,642.869995,642.869995,849000.0,-0.013503749182199098
2017-08-10,642.799988,646.559998,635.059998,640.039978,640.039978,770400.0,-0.0044021606576925
2017-08-11,629.809998,635.289978,626.080017,628.340027,628.340027,606400.0,-0.018280031563903454
2017-08-14,632.52002,633.98999,629.26001,629.369995,629.369995,548300.0,0.001639188903685751
2017-08-16,634.440002,635.969971,634.099976,634.909973,634.909973,607400.0,0.00880241836123763
2017-08-17,638.119995,642.280029,635.73999,642.109985,642.109985,531900.0,0.01134020933074864
2017-08-18,636.940002,643.859985,636.440002,643.580017,643.580017,528500.0,0.002289377262993275
2017-08-21,645.349976,645.349976,640.840027,640.849976,640.849976,585900.0,-0.004241960483369112
2017-08-22,643.26001,644.380005,642.640015,644.26001,644.26001,649800.0,0.0053211112236977165
2017-08-23,647.789978,647.789978,643.650024,643.710022,643.710022,559500.0,-0.000853673969303137
2017-08-24,645.099976,647.98999,644.97998,647.710022,647.710022,500100.0,0.0062139781319110465
2017-08-25,649.219971,650.76001,648.440002,650.27002,650.27002,585000.0,0.003952382876669658
2017-08-28,652.369995,652.940002,649.539978,652.919983,652.919983,513800.0,0.004075173264177279
2017-08-29,650.280029,654.02002,647.130005,653.960022,653.960022,572900.0,0.0015929042257540882
2017-08-30,656.900024,657.429993,654.48999,655.0,655.0,639500.0,0.0015902776393263984
2017-08-31,657.130005,658.030029,655.640015,657.830017,657.830017,616000.0,0.004320636641221398
2017-09-01,660.710022,662.390015,658.650024,661.98999,661.98999,566100.0,0.006323781056649436
2017-09-04,643.98999,655.390015,643.97998,650.890015,650.890015,590500.0,-0.016767587376963378
2017-09-05,655.400024,656.219971,645.969971,648.75,648.75,621100.0,-0.0032878288968681835
2017-09-06,649.22998,653.440002,649.22998,652.590027,652.590027,568500.0,0.005919116763005716
2017-09-07,655.440002,659.119995,655.359985,658.47998,658.47998,499900.0,0.009025502622337811
2017-09-08,659.830017,660.630005,653.340027,654.289978,654.289978,646300.0,-0.006363142581798709
2017-09-11,657.679993,659.469971,654.919983,656.530029,656.530029,578300.0,0.003423636423176335
2017-09-12,660.030029,660.559998,658.049988,660.049988,660.049988,652300.0,0.005361459254744849
2017-09-13,662.940002,662.940002,658.539978,659.090027,659.090027,672500.0,-0.0014543762100637236
2017-09-14,660.150024,665.469971,659.25,665.409973,665.409973,627100.0,0.009588896419457038
2017-09-15,662.900024,671.309998,662.900024,671.299988,671.299988,645600.0,0.008851708328693642
2017-09-18,674.659973,677.140015,672.580017,675.869995,675.869995,585800.0,0.006807697127502399
2017-09-19,677.570007,677.969971,670.070007,674.47998,674.47998,659300.0,-0.002056630728221709
2017-09-20,676.599976,677.289978,668.049988,668.049988,668.049988,688100.0,-0.009533258496419728
2017-09-21,671.320007,672.599976,658.640015,661.109985,661.109985,699800.0,-0.010388448656030724
2017-09-25,649.109985,653.049988,638.919983,642.039978,642.039978,900600.0,-0.028845437873699642
2017-09-26,638.580017,645.72998,637.359985,642.400024,642.400024,820400.0,0.0005607843940209634
2017-09-27,645.02002,650.710022,644.559998,649.23999,649.23999,646000.0,0.010647518282159929
2017-09-28,651.919983,653.380005,648.090027,648.090027,648.090027,583400.0,-0.0017712448674026549
2017-09-29,650.320007,653.580017,648.679993,652.820007,652.820007,692300.0,0.007298337889714235
2017-10-10,658.76001,659.51001,653.909973,654.590027,654.590027,554200.0,0.0027113445988489193
2017-10-11,656.849976,662.309998,656.76001,662.309998,662.309998,558400.0,0.011793597032604852
2017-10-12,665.119995,666.73999,663.369995,666.539978,666.539978,561100.0,0.006386707150388027
2017-10-13,669.0,672.780029,659.099976,663.080017,663.080017,616600.0,-0.0051909279476106684
2017-10-16,667.26001,668.5,652.169983,659.409973,659.409973,554300.0,-0.005534843315901039
2017-10-17,660.609985,671.950012,660.330017,670.51001,670.51001,700000.0,0.01683328650535887
2017-10-18,677.419983,679.5,667.309998,668.419983,668.419983,713700.0,-0.0031170705415717315
2017-10-19,671.219971,671.390015,664.190002,667.099976,667.099976,710600.0,-0.0019748167822206675
2017-10-20,669.059998,672.950012,667.169983,672.950012,672.950012,659100.0,0.008769354235443894
2017-10-23,674.97998,677.690002,674.640015,675.859985,675.859985,500000.0,0.00432420380133669
2017-10-24,678.549988,687.450012,678.340027,687.210022,687.210022,583200.0,0.01679347387314234
2017-10-25,688.830017,690.299988,684.840027,689.140015,689.140015,622300.0,0.0028084471096376795
2017-10-26,689.940002,690.530029,680.609985,680.609985,680.609985,600300.0,-0.012377789439494191
2017-10-27,685.200012,689.969971,682.900024,689.969971,689.969971,537100.0,0.013752348931524994
2017-10-30,692.76001,693.119995,688.409973,689.679993,689.679993,470700.0,-0.00042027626155927145
2017-10-31,691.070007,694.22998,689.289978,694.200012,694.200012,627100.0,0.006553791680020682
2017-11-01,696.650024,696.929993,694.27002,695.77002,695.77002,630600.0,0.0022616075667829527
2017-11-02,698.140015,698.909973,691.52002,694.960022,694.960022,608900.0,-0.0011641749094047915
2017-11-03,697.429993,701.130005,695.880005,701.130005,701.130005,661000.0,0.008878184074881945
